old,new,wall_type,habitat
Acervulina.inhaerens,Acervulina.inhaerens,hyaline,
Adelosina.bicornis,Adelosina.bicornis,porcellanous,
Adelosina.laevigata,Adelosina.laevigata,porcellanous,
Adelosina.mediterranensis,Adelosina.mediterranensis,porcellanous,
Adelosina.sp.,Adelosina.sp.,porcellanous,
Adelosina.striata,Adelosina.striata,porcellanous,
Ammobaculites.balkwilli,Ammobaculites.balkwilli,agglutinated,
Ammobaculites.cf..arenaria,Ammobaculites.cf.arenaria,agglutinated,
Ammobaculites.cf.arenaria,Ammobaculites.cf.arenaria,agglutinated,
Ammobaculites.sp.1,Ammobaculites.sp.1,agglutinated,
Ammonia.beccarii,Ammonia.beccarii,hyaline,CLIB
Ammonia.beccarii.agg,Ammonia.beccarii,hyaline,CLIB
Ammonia.tepida,Ammonia.tepida,hyaline,CLIB
Ammosphaeroidina.sp.1,Ammosphaeroidina.sp.1,agglutinated,
Ammotium.cf..salsum,Ammotium.cf.salsum,agglutinated,
AMMSPH,Ammosphaeroidina.sphaeroidiniforme,agglutinated,OFH
Amphicoryna.scalaris,Amphicoryna.scalaris,agglutinated,
Arenoparella.mexicana,Arenoparella.mexicana,hyaline,
Astacolus.crepidulus,Astacolus.crepidulus,hyaline,
Asterigerinata.mamilla,Asterigerinata.mamilla,hyaline,NOB
Asterigerinata.sp.1,Asterigerinata.sp.1,hyaline,
Aubignyna.hamblensis,Aubignyna.hamblensis,hyaline,
Aubignyna.perlucida,Aubignyna.perlucida,hyaline,
BCHAN,Unidentified.forms,Unidentified.forms,
Bolivina.alata,Bolivina.alata,hyaline,
Bolivina.difformis,Bolivina.difformis,hyaline,
Bolivina.dilatata,Bolivina.dilatata,hyaline,
Bolivina.pseudoplicata,Bolivina.pseudoplicata,hyaline,NOB
Bolivina.striatula,Bolivina.striatula,hyaline,
Bolivinellina.pseudopunctata,Bolivinellina.pseudopunctata,hyaline,OFH
Brizalina.cf..aenariensis,Brizalina.iraensis,hyaline,
Brizalina.iraensis,Brizalina.iraensis,hyaline,
Brizalina.spathulata,Brizalina.spathulata,hyaline,
Brizalina.variabilis,Brizalina.variabilis,hyaline,
Brizalina.variabils,Brizalina.variabilis,hyaline,
Buccella.granulata,Buccella.granulata,hyaline,
Bulimina.aculeata,Bulimina.aculeata,hyaline,OFH
Bulimina.elongata,Bulimina.elongata,hyaline,
Bulimina.gibba,Bulimina.gibba,hyaline,OFH
Bulimina.marginata,Bulimina.marginata,hyaline,
Bulimina.sp..1,Bulimina.sp.1,hyaline,
Buliminella.elegantissima,Buliminella.elegantissima,hyaline,NOB
calcareous.undt,calcareous.undt,hyaline,
Cancris.auricula,Cancris.auricula,hyaline,
CAOBT,Unidentified.forms,hyaline,
Cassidulina.carinata,Cassidulina.carinata,hyaline,
